Наименование;Цена;Наличие
Ноутбуки;;
Acer Aspire 6930ZG-423G25Mi P-M-T4200 2,0 ГГц / 16.0'' WXGA / 3072Mb / 250Gb / NVIDIA® GeForce™ 9300M GS-v512Mb / DVD-RWx2 / WiFi / VHP (LX.P300X.002);25190 руб.;предзаказ
Acer eMaсhines G625-6C3G25Mi A64X2-1,6 ГГц / 17.3'' WXGA+ / 3072Mb / 250Gb / Radeon X1200-v128Mb / DVD-RW / WiFi / VHB (LX.N610Y.067);20010 руб.;есть
Acer Aspire 3935-864G25Mi C2D-P8600 2,4 ГГц / 13.3'' WXGA / 4096Mb / 250Gb / Intel GMA X4500MHD-v358Mb / DVD-RWx2 / WiFi / VHP (LX.PAD0X.087);46540 руб.;предзаказ
Acer Aspire 3935-744G16Mi C2D-P7450 2,13 ГГц / 13.3'' WXGA / 4096Mb / 160Gb / Intel GMA X4500MHD-v358Mb / DVD-RWx2 / WiFi / VHP (LX.PAD0X.128);42740 руб.;предзаказ
Acer Aspire 3935-874G25Mi C2D-P8700 2,53 ГГц / 13.3'' WXGA / 4096Mb / 250Gb / Intel GMA X4500MHD-v358Mb / DVD-RWx2 / WiFi / VHP (LX.PAD0X.229);44110 руб.;есть
Acer Aspire 3935-754G16Mi C2D-P7550 2,26 ГГц / 13.3'' WXGA / 4096Mb / 160Gb / Intel GMA X4500MHD-v358Mb / DVD-RWx2 / WiFi / VHP (LX.PAD0X.288);41910 руб.;есть
Acer eMaсhines G525-162G25Mi Cel-1,66 ГГц / 17.3'' WXGA++ / 2048Mb / 250Gb / Intel GMA X4500-v256Mb / DVD-RWx2 / WiFi / VHB (LX.N590X.027);20000 руб.;есть
Acer eMaсhines G525-902G16Mi Cel-2,2 ГГц / 17.3'' WXGA++ / 2048Mb / 160Gb / Intel GMA X4500-v256Mb / DVD-RWx2 / WiFi / VHB (LX.N590Y.069);18970 руб.;есть
Acer Aspire 6530G-703G32Mi A64X2-RM-70 2,0 ГГц / 16.0'' WXGA / 3072Mb / 320Gb / Radeon 3470-v128Mb / DVD-RWx2 / WiFi / VHP (LX.AUR0X.027);23400 руб.;есть
Acer Aspire 6530G-804G64Bi A64X2-ZM-80 2,1 ГГц / 16.0'' WXGA / 4096Mb / 640Gb / Radeon 3650-v512Mb / DVD-RWx2 / WiFi / VHP (LX.AUS0X.212);29110 руб.;предзаказ
Acer Aspire 6530G-804G64Mi A64X2-ZM-80 2,1 ГГц / 16.0'' WXGA / 4096Mb / 640Gb / Radeon 3650-v512Mb / Blu-Ray Combo / WiFi / VHP (LX.AUS0X.028);31240 руб.;остатки
Acer Extensa 5630Z-343G16Mi P-M-T3400 2,16 ГГц / 15.4'' WXGA / 3072Mb / 160Gb / Intel GMA X4500-v128Mb / DVD-RWx2 / noWiFi / VHP (LX.EB70X.251);18490 руб.;предзаказ
Acer Extensa 5630G-582G25Mi C2D(Pn)-T5800 2,0 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHP (LX.EAV0X.087);22830 руб.;есть
Acer Extensa 5630G-732G32Mi C2D(Pn)-P7350 2,0 ГГц / 15.4'' WXGA / 2048Mb / 320Gb / GeForce 9300M-v256Mb / DVD-RWx2 / WiFi / VHP (LX.EBP0X.041);31440 руб.;предзаказ
Acer Extensa 5630G-732G32Mi C2D(Pn)-P7350 2,0 ГГц / 15.4'' WXGA / 2048Mb / 320Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHP (LX.EAV0X.039);26340 руб.;остатки
Acer Extensa 5630EZ-422G16Mi P-M-T4200 2,0 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Intel GMA X4500-v128Mb / DVD-RWx2 / WiFi / Linux (LX.ECW0F.003);17270 руб.;есть
Acer Extensa 5630G-642G25Mi C2D-T6400 2,0 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon 3470-v256Mb / DVD-RWx2 / WiFi / VHB (LX.EAV0Y.040);28480 руб.;предзаказ
